Year,Month,Day,Hour,Weekday,Electricity,PV,Cooling,Heat,Emission,Total Energy
2014,1,1,0,2,17948.45,1.35,1978.52,8.08,14.804,93.04
2014,1,1,1,2,17869.61,1.0,1840.76,8.14,14.512,91.171
2014,1,1,2,2,18209.09,3.36,1814.95,8.22,14.656,92.106
2014,1,1,3,2,18361.26,8.72,1823.55,8.76,14.839,93.268
2014,1,1,4,2,19453.24,8.92,1868.69,9.66,15.662,98.433
2014,1,1,5,2,20231.3,5.18,1898.57,9.1,16.053,100.883
2014,1,1,6,2,20608.77,3.71,1898.07,9.2,16.278,102.266
2014,1,1,7,2,19210.475,6.32,1905.38,10.34,15.708,98.725
2014,1,1,8,2,16529.57,273.25,1932.86,10.48,14.183,90.054
2014,1,1,9,2,16046.32,1661.76,2011.5,8.695,13.028,87.565
2014,1,1,10,2,15945.54,3070.31,2198.05,8.0,12.459,88.765
2014,1,1,11,2,15204.0,3630.03,2445.13,7.62,12.163,88.826
2014,1,1,12,2,14929.24,3829.77,2700.01,7.67,12.4,90.998
2014,1,1,13,2,14855.47,3751.41,2958.08,7.35,12.851,93.525
2014,1,1,14,2,14684.45,3413.96,3117.16,7.13,13.207,94.631
2014,1,1,15,2,14761.35,2592.6,3393.4,7.09,14.219,98.175
2014,1,1,16,2,14755.93,930.65,3354.52,7.13,15.05,97.724
2014,1,1,17,2,15020.95,73.07,3144.72,7.305,15.286,96.288
2014,1,1,18,2,15510.25,2.19,2807.69,7.36,14.956,93.957
2014,1,1,19,2,15559.99,0.9,2617.7,7.55,14.647,92.039
2014,1,1,20,2,15551.88,0.88,2526.67,7.74,14.504,91.118
2014,1,1,21,2,16566.42,0.87,2415.78,7.7,14.834,93.196
2014,1,1,22,2,17598.69,0.87,2470.17,7.93,15.531,97.597
2014,1,1,23,2,17203.11,0.83,2279.9,7.85,14.945,93.888
2014,1,2,0,3,18331.4,1.35,2377.1,8.005,15.76,99.054
2014,1,2,1,3,19417.61,0.96,2279.29,8.05,16.173,101.633
2014,1,2,2,3,19208.77,3.59,2220.71,8.34,15.996,100.504
2014,1,2,3,3,19393.38,9.01,2215.01,8.45,16.1,101.175
2014,1,2,4,3,19666.86,9.04,2272.37,9.31,16.5,103.66
2014,1,2,5,3,20586.25,5.33,2397.59,10.435,17.411,109.425
2014,1,2,6,3,21462.33,3.93,2449.58,9.755,17.88,112.347
2014,1,2,7,3,19749.025,6.37,2144.89,10.02,16.409,103.116
2014,1,2,8,3,18960.51,279.02,2147.41,10.16,15.864,100.598
2014,1,2,9,3,19919.77,1686.21,2349.77,10.275,16.027,106.412
2014,1,2,10,3,20614.31,3054.47,3000.37,8.895,16.681,115.216
2014,1,2,11,3,20637.87,3641.48,3678.2,9.09,17.699,123.628
2014,1,2,12,3,20735.17,3877.64,4463.68,8.46,19.032,132.762
2014,1,2,13,3,20300.62,3756.85,4641.31,7.64,19.067,132.587
2014,1,2,14,3,18389.01,3308.24,4691.93,7.79,18.39,126.832
2014,1,2,15,3,18216.69,2325.29,5094.02,7.415,19.541,130.696
2014,1,2,16,3,18289.05,651.22,4773.46,7.485,19.888,127.164
2014,1,2,17,3,17759.08,122.23,4556.04,7.505,19.476,122.769
2014,1,2,18,3,17423.86,11.83,3747.73,7.86,17.863,112.271
2014,1,2,19,3,16938.84,4.75,3261.49,8.125,16.718,105.042
2014,1,2,20,3,16608.4,0.92,3114.46,8.385,16.296,102.415
2014,1,2,21,3,17895.69,0.89,2995.11,8.305,16.755,105.291
2014,1,2,22,3,18713.57,1.05,2746.97,8.045,16.68,104.839
2014,1,2,23,3,18973.99,1.41,2831.18,7.805,16.951,106.5
2014,1,3,0,4,19077.33,2.14,2650.94,7.875,16.672,104.757
2014,1,3,1,4,18983.85,6.89,2599.44,7.87,16.515,103.814
2014,1,3,2,4,18743.75,8.33,2495.2,7.775,16.178,101.649
2014,1,3,3,4,18783.71,4.33,2395.61,8.185,16.073,100.998
2014,1,3,4,4,19115.86,2.92,2487.17,8.975,16.558,104.023
2014,1,3,5,4,20222.7,2.85,2543.715,8.87,17.248,108.37
2014,1,3,6,4,21653.13,3.31,2711.95,8.89,18.35,115.285
2014,1,3,7,4,21261.05,5.88,2883.26,9.6,18.579,116.721
2014,1,3,8,4,19775.88,270.42,2667.59,9.743,17.232,109.211
2014,1,3,9,4,19549.04,1660.3,2975.41,9.575,16.923,111.968
2014,1,3,10,4,19780.64,3083.53,3350.53,8.38,16.801,116.066
2014,1,3,11,4,18093.42,3658.74,3641.14,8.195,16.099,113.615
2014,1,3,12,4,18083.04,3854.5,4285.98,7.82,17.16,120.945
2014,1,3,13,4,18112.23,3767.55,4507.9,7.55,17.606,123.436
2014,1,3,14,4,18039.12,3432.52,4634.83,7.468,17.977,124.627
2014,1,3,15,4,17927.43,2608.26,4852.65,7.33,18.755,126.727
2014,1,3,16,4,17911.27,925.15,4843.38,7.22,19.622,126.452
2014,1,3,17,4,17357.82,94.31,4625.75,7.405,19.391,122.137
2014,1,3,18,4,16956.78,1.26,3843.26,8.27,17.862,112.239
2014,1,3,19,4,16590.36,0.85,3344.0,8.1,16.687,104.831
2014,1,3,20,4,16434.12,0.87,3206.61,8.15,16.344,102.69
2014,1,3,21,4,17528.83,0.89,3024.58,7.97,16.566,104.056
2014,1,3,22,4,19340.89,0.87,2582.51,7.87,16.68,104.831
2014,1,3,23,4,19653.0,1.35,2338.96,7.62,16.347,102.716
2014,1,4,0,5,19107.77,1.13,2106.84,7.78,15.639,98.234
2014,1,4,1,5,19111.35,3.62,1985.56,7.87,15.411,96.875
2014,1,4,2,5,19049.88,8.96,1922.14,8.06,15.291,96.102
2014,1,4,3,5,19256.75,7.99,1895.49,8.41,15.407,96.832
2014,1,4,4,5,19112.21,4.29,1887.63,9.53,15.498,97.368
2014,1,4,5,5,18999.93,3.16,2089.11,8.81,15.707,98.68
2014,1,4,6,5,18718.09,2.94,2037.73,9.425,15.555,97.725
2014,1,4,7,5,17899.25,4.47,2126.52,10.22,15.403,96.791
2014,1,4,8,5,16511.885,250.52,2236.03,10.06,14.702,93.214
2014,1,4,9,5,16408.72,1100.37,2300.35,9.29,14.185,92.862
2014,1,4,10,5,16347.12,1723.88,2424.7,8.78,13.963,93.636
2014,1,4,11,5,16840.08,2264.88,2806.91,8.435,14.619,99.56
2014,1,4,12,5,17251.55,2418.83,3083.52,8.35,15.274,104.195
2014,1,4,13,5,17224.74,3032.29,3338.85,8.11,15.374,106.941
2014,1,4,14,5,17226.26,2708.31,3610.51,7.945,16.043,110.032
2014,1,4,15,5,17267.49,2383.34,3825.35,7.66,16.607,112.473
2014,1,4,16,5,17614.69,859.18,3859.71,7.78,17.7,114.192
2014,1,4,17,5,17798.38,64.18,3457.84,7.935,17.497,110.146
2014,1,4,18,5,18047.77,2.16,3185.16,8.21,17.185,107.996
2014,1,4,19,5,17910.51,0.84,2947.38,8.47,16.699,104.931
2014,1,4,20,5,17102.79,0.87,2668.97,8.45,15.728,98.818
2014,1,4,21,5,16429.26,0.89,2258.83,8.22,14.541,91.362
2014,1,4,22,5,17869.48,0.91,2041.2,8.11,14.889,93.551
2014,1,4,23,5,17621.84,1.3,1927.01,8.78,14.646,92.008
2014,1,5,0,6,17398.96,1.4,1872.46,9.1,14.47,90.919
2014,1,5,1,6,17602.69,5.8,2252.32,9.39,15.35,96.457
2014,1,5,2,6,17634.34,9.47,2732.96,9.43,16.291,102.376
2014,1,5,3,6,17438.27,6.91,2555.11,9.75,15.902,99.892
2014,1,5,4,6,17467.93,4.2,2505.77,9.34,15.761,98.984
2014,1,5,5,6,17921.38,3.52,2534.6,9.51,16.082,101.055
2014,1,5,6,6,18418.69,3.54,2106.275,9.76,15.574,97.858
2014,1,5,7,6,17665.17,5.61,1984.35,10.87,15.106,94.936
2014,1,5,8,6,16997.78,285.23,2029.77,11.1,14.711,93.43
2014,1,5,9,6,16651.32,1734.89,2197.63,9.46,13.8,92.63
2014,1,5,10,6,16638.04,3158.43,2412.425,9.26,13.403,94.96
2014,1,5,11,6,16904.25,3777.93,2766.04,9.51,13.925,100.367
2014,1,5,12,6,17894.86,3986.88,3294.015,9.325,15.327,109.897
2014,1,5,13,6,17650.63,3907.21,3407.325,9.19,15.435,110.288
2014,1,5,14,6,17527.11,3558.75,3477.61,8.93,15.646,110.45
2014,1,5,15,6,17534.59,2729.95,3609.865,8.995,16.368,112.135
2014,1,5,16,6,17666.68,1077.07,3587.715,8.97,17.286,112.297
2014,1,5,17,6,17929.26,89.4,3378.705,9.075,17.578,110.779
2014,1,5,18,6,18023.37,2.46,3074.87,9.41,17.151,107.79
2014,1,5,19,6,17653.38,0.89,2850.7,9.52,16.545,103.943
2014,1,5,20,6,16870.55,0.85,2568.29,9.71,15.607,98.083
2014,1,5,21,6,16589.99,0.86,2304.29,9.15,14.865,93.382
2014,1,5,22,6,16535.87,6.17,2123.93,9.16,14.486,91.052
2014,1,5,23,6,17027.7,0.98,2005.33,9.15,14.53,91.287
2014,1,6,0,0,17533.26,0.85,2239.07,9.33,15.28,96.003
