y,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip,ds
1.94,57.0,32.0,39.0,13.0,0.0,28.57,0.0,2022-12-12 00:00:00
1.96,59.0,31.0,35.0,10.0,0.0,28.56,0.0,2022-12-12 01:00:00
1.97,57.0,33.0,40.0,8.0,0.0,28.55,0.0,2022-12-12 02:00:00
2.03,52.0,46.0,80.0,21.0,33.0,28.58,0.0,2022-12-12 03:00:00
2.05,48.0,44.0,86.0,16.0,0.0,28.61,0.0,2022-12-12 04:00:00
2.06,47.0,43.0,86.0,14.0,0.0,28.6,0.0,2022-12-12 05:00:00
2.07,46.0,41.0,83.0,6.0,0.0,28.59,0.1,2022-12-12 06:00:00
5.55,47.0,42.0,83.0,5.0,0.0,28.61,0.0,2022-12-12 07:00:00
97.08,47.0,43.0,86.0,6.0,0.0,28.63,0.0,2022-12-12 08:00:00
1650.18,47.0,42.0,83.0,10.0,0.0,28.65,0.0,2022-12-12 09:00:00
2461.55,50.0,42.0,74.0,7.0,0.0,28.67,0.0,2022-12-12 10:00:00
1606.55,52.0,41.0,66.0,3.0,0.0,28.68,0.0,2022-12-12 11:00:00
1991.71,52.0,40.0,63.0,3.0,0.0,28.67,0.0,2022-12-12 12:00:00
3531.36,56.0,40.0,55.0,9.0,0.0,28.65,0.0,2022-12-12 13:00:00
3771.54,56.0,36.0,47.0,9.0,0.0,28.63,0.0,2022-12-12 14:00:00
2257.05,55.0,34.0,45.0,6.0,0.0,28.63,0.0,2022-12-12 15:00:00
804.25,56.0,34.0,44.0,3.0,0.0,28.63,0.0,2022-12-12 16:00:00
186.91,55.0,32.0,42.0,5.0,0.0,28.63,0.0,2022-12-12 17:00:00
1.77,54.0,32.0,43.0,8.0,0.0,28.63,0.0,2022-12-12 18:00:00
1.81,54.0,33.0,45.0,7.0,0.0,28.64,0.0,2022-12-12 19:00:00
1.71,51.0,34.0,52.0,16.0,28.0,28.66,0.0,2022-12-12 20:00:00
1.73,49.0,36.0,61.0,16.0,0.0,28.67,0.0,2022-12-12 21:00:00
1.8,48.0,37.0,66.0,0.0,0.0,28.67,0.0,2022-12-12 22:00:00
1.82,48.0,38.0,68.0,3.0,0.0,28.68,0.0,2022-12-12 23:00:00
1.94,47.0,40.0,77.0,5.0,0.0,28.68,0.0,2022-12-13 00:00:00
1.59,47.0,40.0,77.0,3.0,0.0,28.69,0.0,2022-12-13 01:00:00
1.98,47.0,40.0,77.0,6.0,0.0,28.7,0.0,2022-12-13 02:00:00
2.08,47.0,39.0,74.0,3.0,0.0,28.7,0.0,2022-12-13 03:00:00
2.04,47.0,39.0,74.0,0.0,0.0,28.71,0.0,2022-12-13 04:00:00
1.92,47.0,39.0,74.0,6.0,0.0,28.71,0.0,2022-12-13 05:00:00
2.24,46.0,39.0,76.0,7.0,0.0,28.72,0.0,2022-12-13 06:00:00
9.92,46.0,40.0,79.0,0.0,0.0,28.74,0.0,2022-12-13 07:00:00
